,club,year,gp,g,a,shts,sog,fc,fs,off,ck,pkg,pka
1,New York Red Bulls,2009.0,30,27,20,338,134,358,328,74,135,3,4
2,Kansas City Wizards,2009.0,30,33,29,373,155,338,339,76,157,2,2
3,Colorado Rapids,2009.0,30,42,39,360,138,330,319,66,134,5,8
4,Columbus Crew,2009.0,30,41,33,333,138,354,375,88,144,4,5
5,New England Revolution,2009.0,30,33,31,290,133,326,387,63,118,5,5
6,San Jose Earthquakes,2009.0,30,36,36,311,141,341,337,68,157,5,5
7,Chicago Fire,2009.0,30,39,36,356,150,251,372,70,183,4,5
8,Los Angeles Galaxy,2009.0,30,36,35,314,137,389,343,50,138,3,3
9,D.C. United,2009.0,30,43,35,341,149,356,319,74,127,8,8
10,Houston Dynamo,2009.0,30,39,48,301,137,354,374,90,144,2,3
11,Real Salt Lake,2009.0,30,43,43,423,184,370,308,64,160,2,2
12,FC Dallas,2009.0,30,50,49,376,164,299,362,74,146,3,5
13,Toronto FC,2009.0,30,37,37,337,142,328,277,102,129,0,2
14,Chivas USA,2009.0,30,34,29,309,135,412,316,94,129,3,4
15,Seattle Sounders FC,2009.0,30,38,46,322,126,353,402,91,167,0,2
