,club,year,gp,g,a,shts,sog,fc,fs,off,ck,pkg,pka
1,New York Red Bulls,2015.0,34,62,63,476,178,438,481,111,206,7,11
2,Sporting Kansas City,2015.0,34,48,52,405,141,454,424,59,153,5,6
3,Colorado Rapids,2015.0,34,33,33,417,127,506,453,95,199,1,2
4,Columbus Crew SC,2015.0,34,58,66,464,180,403,390,70,207,1,2
5,New England Revolution,2015.0,34,48,50,388,158,463,458,63,198,3,3
6,San Jose Earthquakes,2015.0,34,41,33,404,129,477,474,74,196,6,6
7,Chicago Fire,2015.0,34,43,38,467,163,441,470,81,197,7,8
8,LA Galaxy,2015.0,34,56,52,406,153,417,401,48,159,5,6
9,D.C. United,2015.0,34,43,33,373,136,461,379,89,163,4,6
10,Portland Timbers,2015.0,34,41,43,486,166,421,470,78,204,4,6
11,Montreal Impact,2015.0,34,48,29,434,169,424,386,66,164,5,6
12,Vancouver Whitecaps FC,2015.0,34,45,34,440,172,477,436,70,173,5,5
13,Houston Dynamo,2015.0,34,42,39,376,124,440,444,49,162,2,4
14,Real Salt Lake,2015.0,34,38,34,373,144,436,480,70,154,4,5
15,FC Dallas,2015.0,34,52,43,399,148,413,412,57,168,4,5
16,Toronto FC,2015.0,34,58,56,468,169,430,453,67,179,6,7
17,Seattle Sounders FC,2015.0,34,44,42,331,144,396,425,67,145,2,3
18,Philadelphia Union,2015.0,34,42,43,381,149,374,441,70,182,1,2
19,Orlando City SC,2015.0,34,46,39,382,125,467,476,82,164,4,6
20,New York City FC,2015.0,34,49,45,446,160,452,437,78,168,8,9
